Number,Theme,Subtheme,Year,RRP (USD),Value new (USD)
5137-1,Service Packs,Town,1994,3.5,14.0
5138-1,Service Packs,Castle,1994,3.5,108.76
5245-1,Service Packs,Technic,1994,3.25,11.3
5278-1,Service Packs,Technic,1994,4.0,17.75
5281-1,Service Packs,,1994,4.0,7.44
5282-1,Service Packs,,1994,6.0,15.0
5283-1,Service Packs,,1994,4.0,2.43
5284-1,Service Packs,,1994,4.0,24.31
5285-1,Service Packs,Technic,1994,4.5,13.72
5286-1,Service Packs,Technic,1994,4.5,9.8
5591-1,Model Team,,1994,110.0,649.95
5860-1,Belville,,1994,25.0,82.48
5870-1,Belville,,1994,42.0,67.42
5880-1,Belville,,1994,54.0,96.03
5890-1,Belville,,1994,99.0,194.0
6236-1,Pirates,Islanders,1994,4.0,74.89
6246-1,Pirates,Islanders,1994,7.25,70.29
6256-1,Pirates,Islanders,1994,12.0,91.0
6262-1,Pirates,Islanders,1994,21.0,284.43
6264-1,Pirates,Islanders,1994,29.75,306.3
6278-1,Pirates,Islanders,1994,66.0,524.35
6340-1,Town,Fire,1994,20.0,147.85
6341-1,Town,Flight,1994,13.25,47.0
6348-1,Town,Police,1994,33.0,207.8
6350-1,Town,Shops and Services,1994,15.0,207.56
6402-1,Town,Paradisa,1994,7.25,19.99
6410-1,Town,Paradisa,1994,25.5,121.74
6483-1,Town,Police,1994,48.0,402.87
6514-1,Town,Vehicles,1994,3.25,26.07
6515-1,Town,Flight,1994,3.25,29.3
6537-1,Town,Boats,1994,4.5,28.6
6538-1,Town,Vehicles,1994,4.5,42.0
6543-1,Town,Boats,1994,85.0,480.1
6561-1,Town,Vehicles,1994,26.5,216.15
6571-1,Town,Fire,1994,55.0,536.09
6597-1,Town,Flight,1994,109.0,672.67
6665-1,Town,Leisure,1994,7.25,49.85
6666-1,Town,Medical,1994,9.25,51.39
6705-1,Space,Miscellaneous,1994,6.0,112.18
6835-1,Space,Spyrius,1994,4.0,60.0
6889-1,Space,Spyrius,1994,12.0,83.0
6939-1,Space,Spyrius,1994,27.0,420.5
6949-1,Space,Spyrius,1994,36.0,155.17
6959-1,Space,Spyrius,1994,36.0,415.69
6991-1,Space,Unitron,1994,178.0,1250.0
8032-1,Technic,Universal,1994,26.5,68.0
8062-1,Technic,Universal,1994,68.0,112.62
8808-1,Technic,,1994,8.75,54.47
8858-1,Technic,,1994,69.0,199.95
8880-1,Technic,,1994,130.0,838.46
1714-1,Space,Spyrius,1995,1.99,19.99
1746-1,Castle,Dragon Knights,1995,2.5,47.71
1759-1,Duplo,,1995,0.6,3.95
1785-1,Space,Miscellaneous,1995,10.0,25.0
1787-1,Space,Unitron,1995,18.0,253.55
1788-1,Pirates,,1995,22.0,169.17
1789-1,Space,Unitron,1995,27.0,641.91
1807-1,Town,Seasonal,1995,2.0,10.38
1822-1,Aquazone,Aquanauts,1995,20.0,168.8
2659-1,Duplo,,1995,8.0,18.18
2690-1,Duplo,,1995,8.0,9.0
2691-1,Duplo,,1995,18.75,39.58
2785-1,Duplo,,1995,8.75,45.48
2925-1,Duplo,Toolo,1995,25.0,81.81
4130-1,Freestyle,,1995,2.0,5.99
4133-1,Freestyle,,1995,16.5,51.36
4142-1,Freestyle,,1995,8.0,9.95
4144-1,Freestyle,,1995,22.0,38.33
4146-1,Freestyle,,1995,33.0,43.05
4150-1,Freestyle,,1995,3.5,7.78
4151-1,Freestyle,,1995,13.0,54.22
4152-1,Freestyle,,1995,20.0,100.0
4161-1,Freestyle,,1995,20.0,71.09
4163-1,Freestyle,,1995,45.0,35.64
4552-1,Trains,9V,1995,38.5,263.0
4555-1,Trains,9V,1995,66.0,500.0
5125-1,Service Packs,Town,1995,3.0,39.99
5126-1,Service Packs,,1995,3.5,12.0
5132-1,Service Packs,,1995,3.5,5.51
5135-1,Service Packs,Castle,1995,3.5,50.0
5160-1,Service Packs,Aquazone,1995,3.0,16.46
5268-1,Service Packs,,1995,4.0,6.06
5269-1,Service Packs,Technic,1995,3.25,4.99
5287-1,Service Packs,Technic,1995,4.0,8.99
5541-1,Model Team,,1995,39.5,242.25
5810-1,Belville,,1995,5.5,23.63
5830-1,Belville,,1995,11.0,29.9
5840-1,Belville,,1995,19.75,29.0
