Number,Theme,Subtheme,Year,RRP (USD),Value used (USD)
10290-1,Creator Expert,Vehicles,2021,129.99,109.0
10292-1,Creator Expert,Miscellaneous,2021,149.99,104.88
10293-1,Creator Expert,Winter Village,2021,99.99,98.54
10294-1,Creator Expert,Miscellaneous,2021,629.99,612.29
10295-1,Creator Expert,Vehicles,2021,149.99,102.75
10961-1,Duplo,,2021,29.99,13.58
21056-1,Architecture,Landmark Series,2021,119.99,76.69
21168-1,Minecraft,Minifig-scale,2021,29.99,28.28
21172-1,Minecraft,Minifig-scale,2021,29.99,14.99
21325-1,Ideas,,2021,149.99,135.62
21326-1,Ideas,Licensed,2021,99.99,93.55
21327-1,Ideas,,2021,199.99,163.12
21329-1,Ideas,Licensed,2021,99.99,79.0
21330-1,Ideas,Licensed,2021,249.99,245.0
30577-1,Creator,Miscellaneous,2021,4.99,3.2
30579-1,Creator,Seasonal,2021,4.99,2.92
31111-1,Creator,3 in 1,2021,9.99,7.63
31114-1,Creator,3 in 1,2021,19.99,13.37
31118-1,Creator,3 in 1,2021,49.99,34.1
31121-1,Creator,3 in 1,2021,29.99,16.16
31201-1,Art,Licensed,2021,119.99,75.0
31202-1,Art,Licensed,2021,119.99,69.99
40440-1,BrickHeadz,Pets,2021,14.99,17.03
40441-1,BrickHeadz,Pets,2021,14.99,20.0
40451-1,Star Wars,Promotional,2021,16.99,14.99
40453-1,DC Comics Super Heroes,Batman,2021,14.99,8.37
40460-1,Creator,Botanical,2021,12.99,19.78
40461-1,Creator,Botanical,2021,9.99,14.24
40463-1,Seasonal,Easter,2021,14.99,15.71
40466-1,BrickHeadz,Seasonal,2021,19.99,23.11
40468-1,Creator,Miscellaneous,2021,9.99,7.23
40476-1,BrickHeadz,Disney,2021,9.99,9.49
40477-1,BrickHeadz,Disney,2021,24.99,19.77
40478-1,Disney,Disney Parks,2021,34.99,35.0
40480-1,BrickHeadz,Pets,2021,14.99,15.94
40492-1,BrickHeadz,Seasonal,2021,9.99,11.99
40516-1,Miscellaneous,,2021,34.99,46.77
41439-1,Friends,,2021,9.99,9.87
42116-1,Technic,,2021,9.99,7.0
42117-1,Technic,,2021,9.99,10.1
42118-1,Technic,,2021,19.99,11.7
42119-1,Technic,,2021,19.99,12.74
42120-1,Technic,,2021,29.99,25.0
