Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"76385-1","Harry Potter","Hogwarts Moments",2021,"Hogwarts Moment: Charms Class",3,256,27.99,29.99,39.99,29.99,5702016913491,,19.1,26.2,6.1,,"",0,0,0,,0,0,,,,,,,,,30.4900,24.5500,"01/01/2021","31/12/2022"
"76386-1","Harry Potter","Chamber of Secrets",2021,"Hogwarts: Polyjuice Potion Mistake",4,217,17.99,19.99,24.99,19.99,5702016913507,673419339735,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,19.6100,20.3800,"01/06/2021","31/12/2022"
"76387-1","Harry Potter","Philosopher's Stone",2021,"Hogwarts: Fluffy Encounter",4,397,34.99,39.99,49.99,39.99,5702016912968,673419341776,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,36.8900,22.0900,"01/06/2021","31/12/2022"
"76388-1","Harry Potter","Prisoner of Azkaban",2021,"Hogsmeade Village Visit",7,851,69.99,79.99,109.99,79.99,5702016913675,673419340458,48,28.2,7.4,,"",0,0,0,,0,0,,,,,,,,,73.9500,53.9900,"01/09/2021","31/12/2024"
"76389-1","Harry Potter","Chamber of Secrets",2021,"Hogwarts Chamber of Secrets",11,1176,124.99,129.99,169.99,139.99,5702016913583,673419340113,58.2,37.8,8.7,,"",0,0,0,,0,0,,,,,,,,,130.5000,80.0000,"01/06/2021","31/12/2024"
"76390-1","Harry Potter","Seasonal",2021,"Harry Potter Advent Calendar",6,274,24.99,39.99,49.99,29.99,5702016913804,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,30.9700,,"01/09/2021","31/12/2021"
"76391-1","Harry Potter","General",2021,"Hogwarts Icons Collectors' Edition",3,3010,219.99,249.99,349.99,249.99,5702016913415,,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,268.4300,,"02/09/2021","31/12/2024"
"76392-1","Harry Potter","Philosopher's Stone",2021,"Hogwarts Wizard's Chess",4,876,59.99,59.99,79.99,69.99,5702016971620,673419344869,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,83.3000,48.0000,"01/06/2021","31/12/2023"
"76393-1","Harry Potter","General",2021,"Harry Potter & Hermione Granger",,1673,114.99,119.99,159.99,129.99,5702016971637,673419344876,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,86.2300,106.1800,"01/06/2021","31/12/2023"
"76394-1","Harry Potter","General",2021,"Fawkes, Dumbledore's Phoenix",1,597,34.99,39.99,49.99,39.99,5702016971651,673419344883,28.2,26.2,5.9,,"",0,0,0,,0,0,,,,,,,,,46.2800,,"01/06/2021","31/12/2022"
"76395-1","Harry Potter","Philosopher's Stone",2021,"Hogwarts: First Flying Lesson",5,264,24.99,29.99,39.99,29.99,5702017006185,,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,33.0900,,"01/06/2021","31/12/2022"
"76900-1","Speed Champions","",2021,"Koenigsegg Jesko",1,280,17.99,19.99,24.99,19.99,5702016912371,673419338882,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,18.4700,,"01/06/2021","31/12/2022"
"76901-1","Speed Champions","Toyota",2021,"Toyota GR Supra",1,299,17.99,19.99,24.99,19.99,5702016912470,673419338899,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,20.1300,20.0700,"01/06/2021","31/12/2022"
"76902-1","Speed Champions","McLaren",2021,"McLaren Elva",1,263,17.99,19.99,24.99,19.99,5702016912487,673419338905,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,19.2400,,"01/06/2021","31/12/2022"
"76903-1","Speed Champions","Chevrolet",2021,"Chevrolet Corvette C8.R Race Car and 1968 Chevrolet Corvette",2,512,34.99,29.99,39.99,39.99,5702016912494,673419338912,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,33.7700,,"01/06/2021","31/12/2022"
"76904-1","Speed Champions","Dodge",2021,"Mopar Dodge//SRT Top Fuel Dragster and 1970 Dodge Challenger T/A",2,627,54.99,49.99,69.99,59.99,5702016912500,673419338929,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,53.2300,,"01/06/2021","31/12/2022"
"76905-1","Speed Champions","Ford",2021,"Ford GT Heritage Edition and Bronco R",2,660,44.99,49.99,69.99,49.99,5702016980561,673419345194,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,57.8000,,"01/06/2021","31/12/2022"
"76939-1","Jurassic World"," Camp Cretaceous",2021,"Stygimoloch Dinosaur Escape",3,129,34.99,39.99,49.99,39.99,5702017079721,,22.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,38.6600,,"01/09/2021","31/12/2022"
"76940-1","Jurassic World"," Camp Cretaceous",2021,"T. rex Dinosaur Fossil Exhibition",2,198,24.99,29.99,39.99,29.99,5702017079738,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,27.9100,,"01/09/2021","31/12/2022"
"76941-1","Jurassic World"," Camp Cretaceous",2021,"Carnotaurus Dinosaur Chase",3,240,44.99,49.99,69.99,49.99,5702017079745,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,47.5700,,"01/09/2021","31/12/2022"
"76942-1","Jurassic World"," Camp Cretaceous",2021,"Baryonyx Dinosaur Boat Escape",4,308,69.99,79.99,99.99,79.99,5702017079752,,48,28.2,7.4,,"",0,0,0,,0,0,,,,,,,,,72.7800,,"01/09/2021","31/12/2022"
"77940-1","Creator","3 in 1",2021,"Mighty Dinosaurs",,174,12.99,,,,5702017117904,,26.2,14.1,4.8,,"",0,0,0,,0,0,,,,,,,,,38.1200,,"01/09/2021","31/12/2021"
"77941-1","Creator","3 in 1",2021,"Mighty Dinosaurs",,174,12.99,,,,5702017117317,,26.2,14.1,4.8,,"",0,0,0,,0,0,,,,,,,,,29.3500,,"01/09/2021","31/12/2021"
"77942-1","Creator Expert","Vehicles",2021,"Fiat 500",,960,74.99,,,,5702017117324,,48,28.2,7.4,,"",0,0,0,,0,0,,,,,,,,,145.6600,,"01/09/2021","31/12/2021"
"77943-1","City","Fire",2021,"Fire Station Starter Set",,239,24.99,,,,,,28.2,26.2,5.9,,"",0,0,0,,0,0,,,,,,,,,,,"01/09/2021","31/12/2021"
"77944-1","City","Fire",2021,"Fire Station Headquarters",,908,89.99,,,,,,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,,,"01/09/2021","31/12/2021"
"80018-1","Monkie Kid","Season 2",2021,"Monkie Kid's Cloud Bike",3,203,17.99,24.99,34.99,19.99,5702016911268,673419338042,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,26.8500,15.0000,"01/03/2021","31/12/2021"
"80019-1","Monkie Kid","Season 2",2021,"Red Son's Inferno Jet",3,299,24.99,34.99,44.99,29.99,5702016911138,673419338455,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,33.1300,,"01/03/2021","31/12/2022"
"80020-1","Monkie Kid","Season 2",2021,"White Dragon Horse Jet",3,565,34.99,49.99,69.99,39.99,5702016911145,673419338462,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,47.3000,,"01/03/2021","31/12/2022"
"80021-1","Monkie Kid","Season 2",2021,"Monkie Kid's Lion Guardian",5,774,59.99,79.99,109.99,69.99,5702016911152,673419338479,37.8,35.4,7.1,,"",0,0,0,,0,0,,,,,,,,,71.1800,,"01/03/2021","31/12/2023"
"80022-1","Monkie Kid","Season 2",2021,"Spider Queen's Arachnoid Base",6,1170,89.99,119.99,159.99,99.99,5702016911169,,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,140.2600,,"01/03/2021","31/12/2022"
"80023-1","Monkie Kid","Season 2",2021,"Monkie Kid's Team Dronecopter",9,1462,114.99,149.99,199.99,129.99,5702016911473,,58.2,37.8,8.7,,"",0,0,0,,0,0,,,,,,,,,154.2100,,"01/03/2021","31/12/2022"
