Number,Theme,Subtheme,Year,RRP (USD),Value new (USD),Minifigs,Pieces,Launch date,Retired Date
6145-1,Aquazone,Aquanauts,1996,12.0,121.25,1.0,96.0,01/04/1996,31/12/1998
6190-1,Aquazone,Aquasharks,1996,50.0,480.63,2.0,258.0,01/07/1996,31/12/1997
6232-1,Pirates,Imperial Armada,1996,3.0,48.34,2.0,28.0,,
6244-1,Pirates,Imperial Armada,1996,8.75,100.67,1.0,71.0,01/04/1996,31/12/1996
6248-1,Pirates,,1996,12.0,170.15,2.0,119.0,,
6280-1,Pirates,Imperial Armada,1996,50.0,488.0,3.0,284.0,,
6289-1,Pirates,,1996,99.0,711.82,7.0,703.0,,
6296-1,Pirates,,1996,29.75,331.38,4.0,216.0,,
6318-1,Town,Accessories,1996,4.5,28.0,,49.0,,
6331-1,Town,Flight,1996,16.5,100.93,2.0,161.0,,
6334-1,Town,Leisure,1996,20.0,90.37,4.0,181.0,01/07/1996,31/12/1997
6335-1,Town,Racing,1996,30.0,309.07,3.0,397.0,,
6337-1,Town,Racing,1996,40.0,312.54,6.0,329.0,01/07/1996,31/12/1997
6404-1,Town,Paradisa,1996,8.75,79.99,2.0,62.0,,
6418-1,Town,Paradisa,1996,42.0,511.25,5.0,280.0,,
6491-1,Time Cruisers,,1996,4.5,20.43,1.0,58.0,01/07/1996,31/12/1998
6492-1,Time Cruisers,,1996,22.0,70.0,2.0,152.0,01/07/1996,31/12/1998
6493-1,Time Cruisers,,1996,44.0,112.47,2.0,237.0,01/07/1996,31/12/1998
6494-1,Time Cruisers,,1996,64.0,237.2,4.0,504.0,,
6517-1,Town,Leisure,1996,3.0,10.74,1.0,29.0,,
6518-1,Town,Coastguard,1996,3.5,15.14,1.0,37.0,01/07/1996,31/12/1997
6545-1,Town,Police,1996,26.5,62.62,3.0,286.0,,
6546-1,Town,Racing,1996,4.0,33.66,1.0,39.0,,
6563-1,Town,Leisure,1996,27.5,118.87,3.0,233.0,,
