set_number,min_value_new,max_value_new,mean_value_new,quantity_new,min_value_used,max_value_used,mean_value_used,quantity_used,RRP (USD),Year,Theme,Pieces
8781-1,334.7926860674736,470.2773516666853,404.81642387665295,5.0,120.92846185714764,244.0851425948113,164.8187752634113,5.0,90.0,2004,Castle,637.0
8783-1,33.509853867810705,33.509853867810705,33.509853867810705,1.0,11.197079801587746,11.197079801587746,11.197079801587746,1.0,8.0,2004,Castle,49.0
8785-1,33.509853867810705,33.509853867810705,33.509853867810705,1.0,5.99,5.99,5.99,1.0,8.0,2004,Castle,50.0
8786-1,24.19076134721664,24.19076134721664,24.19076134721664,1.0,7.99,7.99,7.99,1.0,8.0,2004,Castle,52.0
8791-1,42.26897625099374,42.26897625099374,42.26897625099374,1.0,2.239415960317549,4.378058202420809,3.308737081369179,2.0,8.99,2005,Castle,42.0
8793-1,45.34817319643037,45.34817319643037,45.34817319643037,1.0,7.278101871032035,10.637225811508358,8.539639528677588,3.0,9.0,2005,Castle,44.0
8795-1,55.97420192813714,55.97420192813714,55.97420192813714,1.0,6.709067976276736,7.448123817610345,7.07859589694354,2.0,9.0,2005,Castle,44.0
88000-1,30.391,65.96871535903436,43.6474047285268,234.0,34.87373534068647,34.87373534068647,34.87373534068647,2.0,12.99,2011,Power Functions,1.0
88002-1,38.94120413396186,45.6,42.27060206698093,91.0,23.280465877680275,26.89029802636608,25.085381952023177,2.0,13.99,2011,Power Functions,7.0
88003-1,9.365858894882324,52.97338454131163,35.07714711033823,344.0,26.15194697152672,31.37476641314017,28.76335669233344,4.0,13.99,2013,Power Functions,1.0
88004-1,45.0,133.2340525590926,95.11275316555304,35.0,73.78632960309154,74.98814003364204,74.38723481836679,3.0,24.99,2013,Power Functions,1.0
88006-1,92.72973608482909,111.31576884748458,101.26359045560918,19.0,42.92461691221855,75.0,58.96230845610928,2.0,79.99,2019,Powered Up,1.0
88007-1,22.45014500218344,37.3243458106126,29.887245406398016,3.0,16.759251804739286,31.91,21.82162383570697,3.0,13.99,2019,Powered Up,1.0
88009-1,56.99,89.11531872487654,68.67359224262336,33.0,74.02698765298724,74.02698765298724,74.02698765298724,20.0,49.99,2019,Powered Up,1.0
88010-1,20.828807846913527,33.580042324961646,25.307739275054875,49.0,13.784210562608171,15.923992180685444,14.85410137164681,34.0,22.99,2019,Powered Up,1.0
88011-1,16.11222368604647,41.06529017232305,23.94619738121349,112.0,11.197079801587746,21.27445162301672,16.235765712302232,2.0,13.99,2019,Powered Up,7.0
88014-1,33.5086035380285,62.472987044978666,44.870160227093336,52.0,33.241,33.241,33.241,24.0,39.99,2020,Powered Up,1.0
8803-1,15.664714642421258,64.69336796963353,31.096892040467687,22.0,12.088398679655423,15.675911722222844,13.876703086876995,6.0,2.99,2011,Collectable Minifigures,9.0
8803-10,5.0,36.380431983338745,10.292736719594632,54.0,3.437503499087438,12.076322357298125,5.781269281699505,20.0,2.99,2011,Collectable Minifigures,6.0
8803-11,4.841617306206541,40.43713399545398,8.921794404644032,117.0,2.886241043394252,7.6453660885241135,4.308736735659216,20.0,2.99,2011,Collectable Minifigures,7.0
8803-12,13.101550809882706,101.08275761681354,28.000684036446177,35.0,8.182825919000324,23.9,13.599397304396902,40.0,2.99,2011,Collectable Minifigures,6.0
8803-13,5.7870437275703885,40.43713399545398,14.355591360630603,43.0,3.5,10.58236012048058,5.749744541515339,8.0,2.99,2011,Collectable Minifigures,6.0
8803-14,7.826758781309834,40.43713399545398,15.67326620532997,32.0,5.850307275313314,13.8328723868815,8.337787271335708,12.0,2.99,2011,Collectable Minifigures,8.0
8803-15,8.901678442262257,64.69336796963353,17.08756818775104,35.0,6.557443040012881,12.313428657806044,7.934175352213632,19.0,2.99,2011,Collectable Minifigures,7.0
8803-16,9.5,37.31986697869196,19.159614524253488,6.0,5.367254381021389,12.341421357310011,8.197860838327873,12.0,2.99,2011,Collectable Minifigures,6.0
8803-2,7.781970462103484,15.95,11.3741278696017,40.0,3.84643456190697,10.798463760651222,6.507738913206839,30.0,2.99,2011,Collectable Minifigures,7.0
8803-3,13.49,74.63973395738391,29.62340987107873,14.0,9.46601126426228,13.716422756944988,11.178392033403163,8.0,2.99,2011,Collectable Minifigures,6.0
8803-4,11.694447476338237,49.75982263825594,20.828141162604343,34.0,4.655597657843908,7.914016584816037,6.780721144246209,6.0,2.99,2011,Collectable Minifigures,7.0
8803-5,10.063601964415104,48.52142561220034,17.961036584635906,37.0,5.593,11.0,8.144429582926644,18.0,2.99,2011,Collectable Minifigures,7.0
8803-6,12.21050371682366,48.52142561220034,27.242151319000342,3.0,9.15385234683198,20.23984144935001,14.49569473163732,6.0,2.99,2011,Collectable Minifigures,9.0
8803-7,5.5,48.52142561220034,11.781325878088438,59.0,3.2954941899471324,10.949624337972656,6.594794035280154,33.0,2.99,2011,Collectable Minifigures,6.0
8803-8,6.677259333165567,48.52142561220034,14.014196661962224,50.0,4.56216622386818,9.986675475036112,7.4948707003384,20.0,2.99,2011,Collectable Minifigures,5.0
8803-9,33.580042324961646,111.95960093607589,65.3051017627936,4.0,24.479213355307163,62.199778297819925,33.56678276209504,9.0,2.99,2011,Collectable Minifigures,8.0
8804-1,7.266904791230448,48.51582707229954,16.925032746742765,36.0,7.043,13.334602335710848,8.406205810748,11.0,2.99,2011,Collectable Minifigures,8.0
8804-10,6.3,24.87991131912797,11.208366726547853,29.0,2.4031881491023266,11.099665207313931,6.436564490262867,26.0,2.99,2011,Collectable Minifigures,6.0
8804-11,5.3745983047621175,40.43713399545398,10.300478375785076,43.0,3.515883057698552,9.023726612099564,5.337292200247224,22.0,2.99,2011,Collectable Minifigures,7.0
8804-12,5.436,32.34948325476716,9.177943330973964,59.0,2.5964093068190968,7.729344187036021,4.860647111552968,34.0,2.99,2011,Collectable Minifigures,6.0
8804-13,17.656585135506102,62.199778297819925,29.989347505261897,23.0,10.734508762042775,32.02364823254096,19.20006130131592,19.0,2.99,2011,Collectable Minifigures,6.0
8804-14,6.231509239166249,30.32057239471946,13.650779158404834,45.0,4.42284652162716,10.336434033691672,6.353248033386778,32.0,2.99,2011,Collectable Minifigures,7.0
8804-15,5.613096104535937,30.32057239471946,9.357346507349671,97.0,3.55580602742667,4.973072865309162,4.4259442998339855,14.0,2.99,2011,Collectable Minifigures,8.0
8804-16,5.598539900793873,32.34948325476716,9.790771404812762,64.0,3.447776528916502,8.949825885409085,5.719810834687713,20.0,2.99,2011,Collectable Minifigures,6.0
8804-2,10.238121755546285,48.52142561220034,22.39762247189555,18.0,11.34503394788396,20.12720392883021,14.007918694802788,5.0,2.99,2011,Collectable Minifigures,6.0
8804-3,10.12,32.34948325476716,17.767950586127377,36.0,7.269946059093471,11.0,8.525143557050594,12.0,2.99,2011,Collectable Minifigures,7.0
8804-4,5.68,48.52142561220034,12.741346096820434,28.0,3.25,7.044082903178851,5.244361340177644,18.0,2.99,2011,Collectable Minifigures,6.0
8804-5,4.600089586776818,22.2418793178739,8.248584357759814,67.0,3.3143356212699726,8.527695976889227,5.371462420390473,28.0,2.99,2011,Collectable Minifigures,6.0
8804-6,19.15438907227008,49.75982263825594,29.57511325427096,8.0,14.262136703969084,20.67976362044118,16.80433996716267,5.0,2.99,2011,Collectable Minifigures,10.0
8804-7,5.878466895833567,37.31986697869196,10.813113001615728,42.0,3.724061908805172,10.07849152940913,6.654776864595768,22.0,2.99,2011,Collectable Minifigures,4.0
8804-8,11.526,15.627391894966935,14.224892589897706,23.0,6.662262481944709,16.168583233492704,10.091570130370288,19.0,2.99,2011,Collectable Minifigures,9.0
8804-9,6.373,32.34948325476716,10.840901924484124,58.0,4.360894184579879,9.14577478193687,5.832286487060211,25.0,2.99,2011,Collectable Minifigures,8.0
8805-1,26.861794444009,74.63973395738391,48.45581072456303,30.0,16.580790596570324,20.0,18.38069935324585,3.0,2.99,2011,Collectable Minifigures,7.0
8805-10,3.347926860674736,24.87991131912797,6.631107226663144,126.0,3.135182344444569,6.782071235821698,4.417356437075665,26.0,2.99,2011,Collectable Minifigures,6.0
8805-11,6.70705080115106,28.608538893056693,12.587567212060536,77.0,3.891259426240506,15.616567199274428,6.676623341746259,35.0,2.99,2011,Collectable Minifigures,6.0
8805-12,22.3829625233739,62.199778297819925,38.34846188913931,21.0,10.343329586749505,18.61286142020825,14.742105866821722,8.0,2.99,2011,Collectable Minifigures,10.0
8805-13,4.293803504817111,28.608538893056693,8.802585400700252,53.0,2.8272012452030166,8.423563134734461,5.322115620686095,46.0,2.99,2011,Collectable Minifigures,5.0
8805-14,7.266904791230448,49.75982263825594,15.762325369612828,74.0,4.478831920635098,12.114120637337784,7.866243025648513,34.0,2.99,2011,Collectable Minifigures,6.0
8805-15,10.0,37.31986697869196,17.475523204295992,95.0,5.367254381021389,15.531469392782364,9.922903950464775,15.0,2.99,2011,Collectable Minifigures,7.0
8805-16,7.826758781309834,37.31986697869196,14.676666657376735,34.0,4.478831920635098,11.03920097638536,6.668400191948466,35.0,2.99,2011,Collectable Minifigures,6.0
8805-2,12.85,83.9780985119081,33.388401210200776,16.0,10.9532243780694,19.0,13.79338284870819,6.0,2.99,2011,Collectable Minifigures,7.0
8805-3,10.427373344654482,62.199778297819925,20.27090613865599,52.0,6.550775404941353,20.12720392883021,11.406324041498296,37.0,2.99,2011,Collectable Minifigures,6.0
8805-4,8.94646676146861,49.75982263825594,17.853012383858808,59.0,3.0,12.0,8.163201422596835,13.0,2.99,2011,Collectable Minifigures,8.0
8805-5,3.928,24.87991131912797,7.070593256955573,186.0,2.911240748412814,6.0,4.560719549432155,34.0,2.99,2011,Collectable Minifigures,7.0
8805-6,14.545006662262482,62.199778297819925,25.305822938252668,48.0,9.0,33.54533988138368,15.885515517796106,40.0,2.99,2011,Collectable Minifigures,6.0
8805-7,3.9077808507541234,26.12278717710421,8.344128210366343,75.0,3.0861712690872984,8.569125172155102,5.327885404502051,41.0,2.99,2011,Collectable Minifigures,7.0
8805-8,5.027488830912898,27.36566303508045,11.089708180057384,109.0,3.354533988138368,9.65972074482975,5.839067792665621,29.0,2.99,2011,Collectable Minifigures,6.0
8805-9,4.2492917847025495,24.87991131912797,7.885952010704529,198.0,3.25,8.930300457314804,6.019289653555772,38.0,2.99,2011,Collectable Minifigures,6.0
8821-1,89.64218975182905,97.92965994468642,93.78592484825774,6.0,74.48123817610345,74.48123817610345,74.48123817610345,2.0,20.0,2006,Castle,152.0
8824-1,44.7771221265494,44.7771221265494,44.7771221265494,1.0,19.95,22.55186109545662,20.700317752337767,4.0,25.5,1993,Technic,194.0
8827-1,12.076322357298125,41.98904925595405,25.392930796212298,13.0,5.977779566862572,18.396802114008665,10.686394706825544,6.0,2.99,2012,Collectable Minifigures,6.0
8827-10,30.1,111.95960093607589,58.22910553050552,19.0,27.392,53.67254381021389,36.84337363177836,6.0,2.99,2012,Collectable Minifigures,7.0
8827-11,16.46963099471253,87.0796896169479,39.329810399087,18.0,12.756773156991056,27.725089296711417,16.06448358963901,12.0,2.99,2012,Collectable Minifigures,7.0
8827-12,4.451078027975893,24.87991131912797,8.15678497208469,62.0,3.220352628612833,8.001433226214603,4.77534394398312,31.0,2.99,2012,Collectable Minifigures,8.0
8827-13,7.864213473959139,24.87991131912797,13.6218122971862,28.0,6.3375471676986646,7.903282076053994,7.157197610210591,8.0,2.99,2012,Collectable Minifigures,9.0
8827-14,9.0,62.199778297819925,16.875455777809517,16.0,7.358847910785533,12.0,9.699306310639782,16.0,2.99,2012,Collectable Minifigures,7.0
8827-15,4.747816563174286,24.87991131912797,9.18647109837416,56.0,3.654643120651492,6.15839389087326,4.610906033354206,22.0,2.99,2012,Collectable Minifigures,7.0
8827-16,8.46,49.75982263825594,14.520219536766994,31.0,5.106139366667513,12.694129371060027,7.891154363632158,14.0,2.99,2012,Collectable Minifigures,7.0
8827-2,8.457690544355925,28.608538893056693,14.680332424889896,25.0,4.0,7.837955861111422,6.52314634001735,13.0,2.99,2012,Collectable Minifigures,7.0
8827-3,11.8,49.75982263825594,18.5705499067768,50.0,6.709067976276736,12.0,9.265489531186754,15.0,2.99,2012,Collectable Minifigures,6.0
8827-4,13.99,62.98357388393107,25.794314953087355,64.0,9.6489815634812,19.27017433853252,14.183364654436389,18.0,2.99,2012,Collectable Minifigures,8.0
8827-5,9.99,37.31986697869196,15.507863730949966,15.0,5.353836245068836,9.0,7.366784798510379,9.0,2.99,2012,Collectable Minifigures,8.0
8827-6,3.0,24.87991131912797,6.799695847231178,114.0,2.6836271905106943,7.525557334647124,4.99760884879858,35.0,2.99,2012,Collectable Minifigures,6.0
8827-7,16.235765712302232,49.75982263825594,30.572434653545805,26.0,6.438320885912954,16.78442262258003,9.878520583513788,17.0,2.99,2012,Collectable Minifigures,5.0
8827-8,12.759757013530892,46.18795418154945,23.94891004236133,13.0,9.97504226712825,16.113717542464926,12.280815103627464,12.0,2.99,2012,Collectable Minifigures,8.0
8827-9,6.97399786836396,28.608538893056693,15.412295652259246,13.0,5.038685910714486,13.78024611181404,9.491098666668066,19.0,2.99,2012,Collectable Minifigures,9.0
8828-1,53.67254381021389,53.67254381021389,53.67254381021389,1.0,15.395984727183151,29.51989909561764,24.224385529410824,7.0,21.0,1992,Technic,175.0
8831-1,6.83,24.87991131912797,11.500526500580872,27.0,4.482109487591453,7.0,5.654222602638286,14.0,2.99,2012,Collectable Minifigures,6.0
8831-10,3.354533988138368,24.87991131912797,8.702189045919127,119.0,3.347926860674736,9.086430258988456,5.326000682197732,13.0,2.99,2012,Collectable Minifigures,7.0
8831-11,7.37997477390441,49.75982263825594,13.948182053591951,76.0,4.519228188820009,11.13773527863933,6.16351313878039,29.0,2.99,2012,Collectable Minifigures,9.0
8831-12,7.826758781309834,37.31986697869196,13.418688255861705,50.0,4.8157689933714405,11.0,7.065969058826935,17.0,2.99,2012,Collectable Minifigures,7.0
8831-13,17.210835041506783,49.75982263825594,25.831486828988147,40.0,10.547,15.116057732143457,12.752711888343931,13.0,2.99,2012,Collectable Minifigures,10.0
8831-14,23.92,62.199778297819925,35.67534050271163,28.0,10.735850575638032,19.31496265773886,16.13102917533451,30.0,2.99,2012,Collectable Minifigures,8.0
8831-15,6.038161178649062,37.31986697869196,10.972461216772489,61.0,3.007004266967233,8.274641973373344,6.318953867830077,19.0,2.99,2012,Collectable Minifigures,6.0
8831-16,9.75,49.75982263825594,17.183734976228045,35.0,6.00722278431472,14.147510329306115,8.606669171423704,13.0,2.99,2012,Collectable Minifigures,7.0
8831-2,20.113785792877653,74.63973395738391,40.34180204156287,23.0,11.230979792287254,20.67976362044118,17.678292363872433,13.0,2.99,2012,Collectable Minifigures,7.0
8831-3,14.545006662262482,87.0796896169479,33.77358905410527,39.0,6.743508951165193,32.2,15.055846486446145,41.0,2.99,2012,Collectable Minifigures,6.0
8831-4,15.25,74.63973395738391,29.62590374430349,15.0,13.418135952553472,13.581837211174625,13.499986581864048,2.0,2.99,2012,Collectable Minifigures,11.0
8831-5,16.0,74.63973395738391,27.04226952822262,26.0,8.44134932775139,34.48700578889026,14.33740212343838,16.0,2.99,2012,Collectable Minifigures,7.0
