set_number,min_value_new,max_value_new,mean_value_new,quantity_new,min_value_used,max_value_used,mean_value_used,quantity_used
10726-1,16.78442262258003,25.0,20.892211311290016,4.0,8.957663841270197,19.31496265773886,12.507364674093015,7.0
10727-1,50.376781735323426,54.30583703770057,52.341309386511995,2.0,17.75365760972829,24.134435702415512,20.9440466560719,3.0
10728-1,50.38685910714486,50.38685910714486,50.38685910714486,1.0,13.875694388535544,24.997,19.164334644187136,3.0
10731-1,20.144666271036513,20.144666271036513,20.144666271036513,1.0,9.23759083630989,22.0,12.939490567431143,4.0
10736-1,52.8,52.8,52.8,1.0,26.836271905106944,41.205253669842904,32.70813139373746,4.0
10737-1,28.284,28.284,28.284,1.0,14.55620374206407,14.55620374206407,14.55620374206407,1.0
10739-1,37.24061908805172,37.24061908805172,37.24061908805172,1.0,10.2,16.795619702381618,13.497809851190809,2.0
10742-1,37.24061908805172,37.24061908805172,37.24061908805172,1.0,13.380510362897356,13.380510362897356,13.380510362897356,1.0
10743-1,5.598539900793873,78.368,23.790904925595402,4.0,21.21846622400878,30.177387757292756,25.697926990650767,2.0
10746-1,50.0,50.0,50.0,1.0,13.418135952553472,25.0,17.932240770048065,3.0
10747-1,37.24061908805172,38.0140859263904,37.62735250722106,2.0,27.253942618278543,27.253942618278543,27.253942618278543,1.0
10748-1,13.372672407036244,16.78442262258003,15.078547514808138,24.0,6.205997752049703,11.172185726415517,9.335542443926938,3.0
10749-1,24.793693804655746,37.24061908805172,31.017156446353734,2.0,10.0,15.378586357590725,13.459528785863576,3.0
10750-1,19.133,19.133,19.133,1.0,7.006460193805814,12.876641771825907,9.027242875075755,4.0
10751-1,24.622378483691453,37.24061908805172,32.93266585724773,3.0,9.0,25.753283543651815,16.114675522812387,4.0
10753-1,8.714304866604103,44.68874290566207,26.701523886133085,2.0,22.99,29.4,26.195,2.0
10755-1,25.185,35.626068782063456,30.40553439103173,2.0,13.404717816600918,16.088345007111613,14.746531411856266,2.0
10756-1,24.232,42.219,34.322854516593715,6.0,20.962,20.962,20.962,1.0
10757-1,26.986,50.375662027343274,39.19274384302727,8.0,26.86,26.86,26.86,1.0
10758-1,69.994,145.50605202163274,99.09008659265709,7.0,49.26715112698608,53.67254381021389,51.46984746859998,2.0
10760-1,73.0,73.0,73.0,1.0,30.178729570888013,30.178729570888013,30.178729570888013,1.0
10766-1,10.17814553964326,29.99,16.623523641034417,21.0,8.937748581132414,15.45197012619109,12.194859353661752,2.0
10767-1,22.344371452831034,39.18977930555711,31.192219804361944,6.0,15.99,20.12720392883021,18.245837824285356,3.0
10769-1,39.17858222575553,82.8,56.010389821844434,12.0,10.455411534229665,33.53192174543112,21.993666639830394,2.0
10771-1,29.79249527044138,44.788319206350984,37.67381692193808,11.0,14.65,20.12720392883021,17.77179795437935,6.0
10774-1,27.00968364682948,35.8194582852792,32.94817477783881,6.0,18.114483535947187,25.753283543651815,21.933883539799503,2.0
10776-1,33.83533574443785,67.18247880952647,58.18217358959924,106.0,26.836271905106944,26.836271905106944,26.836271905106944,1.0
10777-1,24.63357556349304,33.545339881383676,28.76156848494737,13.0,14.49158682875775,14.49158682875775,14.49158682875775,1.0
10778-1,48.0,63.36,56.823128090860564,11.0,34.99,34.99,34.99,1.0
10781-1,8.397809851190809,24.99,13.719114332448763,35.0,12.876641771825907,12.876641771825907,12.876641771825907,1.0
10789-1,6.367,20.12720392883021,11.500276632434828,47.0,8.509780649206686,8.509780649206686,8.509780649206686,1.0
10803-1,50.38685910714486,50.38685910714486,50.38685910714486,1.0,37.965,41.205253669842904,39.585126834921454,2.0
10804-1,96.82560962893449,96.82560962893449,96.82560962893449,1.0,65.0,65.0,65.0,1.0
10808-1,13.996349751984683,13.996349751984683,13.996349751984683,1.0,15.664714642421258,19.31496265773886,17.48983865008006,2.0
10812-1,44.788319206350984,44.788319206350984,44.788319206350984,1.0,15.786976849187798,43.036,25.890227299107906,4.0
10818-1,29.11240748412814,29.11240748412814,29.11240748412814,1.0,20.602626834921452,20.602626834921452,20.602626834921452,1.0
10822-1,69.17203891282338,69.17203891282338,69.17203891282338,1.0,38.62992531547772,38.62992531547772,38.62992531547772,1.0
10826-1,54.86569102777995,54.86569102777995,54.86569102777995,1.0,31.703029815098084,31.703029815098084,31.703029815098084,1.0
10829-1,39.18977930555711,44.72264712986072,41.03406858032498,4.0,25.753283543651815,39.18977930555711,32.471531424604464,2.0
